seq	term
Oarb_142670_c3_g1	"Signal transduction mechanisms"
Oarb_142672_c0_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_142696_c1_g2	"Signal transduction mechanisms"
Oarb_142709_c3_g2	"Signal transduction mechanisms"
Oarb_142713_c3_g3	"Replication, recombination and repair"
Oarb_142714_c2_g2	"Transcription"
Oarb_142721_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_142729_c0_g2	"Transcription"
Oarb_142744_c4_g1	"Carbohydrate transport and metabolism"
Oarb_142749_c1_g2	"Defense mechanisms"
Oarb_142767_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_142771_c1_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_142774_c0_g1	""
Oarb_142774_c4_g1	""
Oarb_142775_c1_g1	"Inorganic ion transport and metabolism"
Oarb_142777_c0_g1	"Defense mechanisms"
Oarb_142782_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_142800_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_142804_c2_g1	"Signal transduction mechanisms"
Oarb_142804_c2_g1	"Transcription"
Oarb_142825_c3_g2	"RNA processing and modification"
Oarb_142828_c3_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_142832_c2_g1	"Amino acid transport and metabolism"
Oarb_142844_c3_g1	"Transcription"
Oarb_142868_c1_g4	"Cell wall/membrane/envelope biogenesis"
Oarb_142887_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_142895_c5_g1	"RNA processing and modification"
Oarb_142896_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_142907_c1_g1	"Inorganic ion transport and metabolism"
Oarb_142932_c3_g1	"Carbohydrate transport and metabolism"
Oarb_142932_c5_g1	"Signal transduction mechanisms"
Oarb_142937_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_142945_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_142982_c0_g1	"Energy production and conversion"
Oarb_142983_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_142994_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143002_c0_g1	""
Oarb_143006_c0_g1	"Amino acid transport and metabolism"
Oarb_143014_c2_g1	"Translation, ribosomal structure and biogenesis"
Oarb_143034_c1_g1	""
Oarb_143042_c0_g1	"Replication, recombination and repair"
Oarb_143042_c0_g2	"Replication, recombination and repair"
Oarb_143044_c6_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143045_c1_g3	"Signal transduction mechanisms"
Oarb_143059_c4_g1	"Signal transduction mechanisms"
Oarb_143060_c1_g2	""
Oarb_143076_c4_g1	"Translation, ribosomal structure and biogenesis"
Oarb_143080_c2_g1	""
Oarb_143082_c1_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_143085_c0_g4	"Posttranslational modification, protein turnover, chaperones"
Oarb_143089_c0_g1	"Inorganic ion transport and metabolism"
Oarb_143125_c5_g2	"Signal transduction mechanisms"
Oarb_143127_c1_g2	"Replication, recombination and repair"
Oarb_143146_c2_g1	"Amino acid transport and metabolism"
Oarb_143147_c1_g1	"Signal transduction mechanisms"
Oarb_143148_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143167_c1_g2	"RNA processing and modification"
Oarb_143168_c0_g1	"Lipid transport and metabolism"
Oarb_143186_c2_g2	"Lipid transport and metabolism"
Oarb_143192_c0_g1	"Signal transduction mechanisms"
Oarb_143208_c0_g1	"Amino acid transport and metabolism"
Oarb_143212_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_143212_c2_g1	"Signal transduction mechanisms"
Oarb_143219_c0_g1	"Transcription"
Oarb_143221_c1_g1	"Nucleotide transport and metabolism"
Oarb_143231_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_143237_c2_g1	"Replication, recombination and repair"
Oarb_143244_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143251_c2_g1	"Transcription"
Oarb_143251_c2_g4	"Transcription"
Oarb_143263_c3_g2	"Amino acid transport and metabolism"
Oarb_143279_c0_g1	"Signal transduction mechanisms"
Oarb_143297_c1_g2	"Signal transduction mechanisms"
Oarb_143298_c0_g2	"Inorganic ion transport and metabolism"
Oarb_143326_c2_g1	"Replication, recombination and repair"
Oarb_143333_c2_g3	"Coenzyme transport and metabolism"
Oarb_143333_c2_g4	"Coenzyme transport and metabolism"
Oarb_143333_c2_g5	"Coenzyme transport and metabolism"
Oarb_143337_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_143341_c1_g1	"Transcription"
Oarb_143367_c1_g1	"Amino acid transport and metabolism"
Oarb_143374_c4_g1	"RNA processing and modification"
Oarb_143387_c0_g1	"Replication, recombination and repair"
Oarb_143398_c0_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_143398_c0_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_143404_c0_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_143406_c2_g1	"Signal transduction mechanisms"
Oarb_143407_c1_g1	"Replication, recombination and repair"
Oarb_143407_c1_g2	"Translation, ribosomal structure and biogenesis"
Oarb_143432_c1_g1	"Carbohydrate transport and metabolism"
Oarb_143434_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143450_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143460_c0_g3	"Amino acid transport and metabolism"
Oarb_143460_c0_g4	"Amino acid transport and metabolism"
Oarb_143464_c6_g2	"Energy production and conversion"
Oarb_143473_c1_g1	"Carbohydrate transport and metabolism"
Oarb_143482_c7_g1	"Signal transduction mechanisms"
Oarb_143483_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_143491_c1_g3	"RNA processing and modification"
Oarb_143497_c2_g1	"Carbohydrate transport and metabolism"
Oarb_143497_c2_g1	"Replication, recombination and repair"
Oarb_143497_c2_g5	"Carbohydrate transport and metabolism"
Oarb_143514_c2_g1	"Nucleotide transport and metabolism"
Oarb_143516_c0_g1	"Signal transduction mechanisms"
Oarb_143529_c4_g6	""
Oarb_143543_c1_g1	"Energy production and conversion"
Oarb_143544_c3_g2	"Signal transduction mechanisms"
Oarb_143566_c0_g2	"Signal transduction mechanisms"
Oarb_143579_c3_g2	"Signal transduction mechanisms"
Oarb_143605_c2_g1	"Replication, recombination and repair"
Oarb_143605_c2_g2	"Replication, recombination and repair"
Oarb_143607_c1_g1	"RNA processing and modification"
Oarb_143614_c2_g1	"Inorganic ion transport and metabolism"
Oarb_143620_c1_g2	"Lipid transport and metabolism"
Oarb_143623_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143634_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_143635_c1_g4	"Carbohydrate transport and metabolism"
Oarb_143642_c3_g3	"Cytoskeleton"
Oarb_143653_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_143659_c2_g1	""
Oarb_143671_c1_g1	"Lipid transport and metabolism"
Oarb_143676_c2_g1	"Lipid transport and metabolism"
Oarb_143677_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_143679_c2_g1	"Signal transduction mechanisms"
Oarb_143682_c2_g1	"Amino acid transport and metabolism"
Oarb_143703_c0_g2	"Lipid transport and metabolism"
Oarb_143720_c2_g1	"Signal transduction mechanisms"
Oarb_143726_c2_g3	"Amino acid transport and metabolism"
Oarb_143726_c2_g4	"Amino acid transport and metabolism"
Oarb_143726_c2_g5	"Amino acid transport and metabolism"
Oarb_143726_c2_g7	"Amino acid transport and metabolism"
Oarb_143734_c9_g2	"Cytoskeleton"
Oarb_143754_c2_g1	""
Oarb_143760_c7_g1	"Amino acid transport and metabolism"
Oarb_143792_c10_g2	"Transcription"
Oarb_143796_c2_g1	"Signal transduction mechanisms"
Oarb_143812_c4_g2	"Transcription"
Oarb_143817_c8_g1	"Transcription"
Oarb_143819_c0_g1	"Energy production and conversion"
Oarb_143827_c0_g2	""
Oarb_143831_c2_g1	"Signal transduction mechanisms"
Oarb_143832_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_143836_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_143848_c2_g3	"Transcription"
Oarb_143850_c10_g1	"Coenzyme transport and metabolism"
Oarb_143851_c3_g1	"Signal transduction mechanisms"
Oarb_143852_c2_g1	"Signal transduction mechanisms"
Oarb_143859_c2_g2	"Transcription"
Oarb_143862_c0_g1	"Signal transduction mechanisms"
Oarb_143864_c0_g1	""
Oarb_143871_c3_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_143918_c2_g5	"Coenzyme transport and metabolism"
Oarb_143934_c3_g3	"Signal transduction mechanisms"
Oarb_143937_c2_g2	"Signal transduction mechanisms"
Oarb_143956_c2_g1	"RNA processing and modification"
Oarb_143957_c1_g2	"Cytoskeleton"
Oarb_143961_c7_g1	"Replication, recombination and repair"
Oarb_143965_c4_g1	"Chromatin structure and dynamics"
Oarb_143973_c0_g1	"Signal transduction mechanisms"
Oarb_143986_c2_g1	""
Oarb_143990_c1_g1	""
Oarb_143998_c4_g1	"Energy production and conversion"
Oarb_144003_c3_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144003_c3_g1	"Signal transduction mechanisms"
Oarb_144042_c1_g1	"Signal transduction mechanisms"
Oarb_144047_c1_g1	"Cytoskeleton"
Oarb_144062_c0_g2	"Signal transduction mechanisms"
Oarb_144066_c0_g1	"Signal transduction mechanisms"
Oarb_144088_c4_g1	"Transcription"
Oarb_144091_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144098_c1_g3	"Signal transduction mechanisms"
Oarb_144102_c2_g1	""
Oarb_144106_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_144108_c3_g2	"Signal transduction mechanisms"
Oarb_144114_c2_g1	""
Oarb_144115_c5_g1	"Translation, ribosomal structure and biogenesis"
Oarb_144127_c1_g1	"Transcription"
Oarb_144137_c2_g1	"Nuclear structure"
Oarb_144140_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144141_c0_g4	"Signal transduction mechanisms"
Oarb_144142_c1_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_144172_c9_g1	"RNA processing and modification"
Oarb_144191_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_144192_c0_g2	"Cell cycle control, cell division, chromosome partitioning"
Oarb_144193_c3_g2	"Signal transduction mechanisms"
Oarb_144196_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144196_c2_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_144203_c2_g1	"Transcription"
Oarb_144204_c0_g1	"Transcription"
Oarb_144206_c3_g3	"Defense mechanisms"
Oarb_144212_c0_g1	"Energy production and conversion"
Oarb_144213_c0_g1	"Energy production and conversion"
Oarb_144214_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_144222_c0_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_144249_c1_g2	"Replication, recombination and repair"
Oarb_144262_c0_g1	"Carbohydrate transport and metabolism"
Oarb_144269_c1_g1	"Lipid transport and metabolism"
Oarb_144290_c0_g1	"Signal transduction mechanisms"
Oarb_144291_c0_g1	"Inorganic ion transport and metabolism"
Oarb_144294_c2_g1	"Transcription"
Oarb_144308_c1_g1	"Signal transduction mechanisms"
Oarb_144313_c0_g1	""
Oarb_144320_c0_g3	"Inorganic ion transport and metabolism"
Oarb_144325_c0_g1	"Signal transduction mechanisms"
Oarb_144330_c1_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_144350_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144360_c4_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_144361_c5_g2	"Carbohydrate transport and metabolism"
Oarb_144361_c5_g2	"Lipid transport and metabolism"
Oarb_144362_c1_g5	"Posttranslational modification, protein turnover, chaperones"
Oarb_144363_c0_g1	""
Oarb_144372_c0_g2	"Transcription"
Oarb_144379_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_144381_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_144390_c1_g1	"Signal transduction mechanisms"
Oarb_144395_c6_g1	"Coenzyme transport and metabolism"
Oarb_144409_c6_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144413_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144419_c0_g3	"Carbohydrate transport and metabolism"
Oarb_144425_c1_g1	"Carbohydrate transport and metabolism"
Oarb_144428_c0_g1	"Signal transduction mechanisms"
Oarb_144437_c5_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_144449_c2_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_144462_c0_g1	"Inorganic ion transport and metabolism"
Oarb_144485_c2_g2	"Signal transduction mechanisms"
Oarb_144486_c1_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_144489_c3_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_144491_c2_g2	"Energy production and conversion"
Oarb_144494_c1_g2	"Signal transduction mechanisms"
Oarb_144503_c0_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_144508_c0_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_144514_c1_g1	"Signal transduction mechanisms"
Oarb_144526_c1_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_144531_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_144536_c3_g1	"Energy production and conversion"
Oarb_144542_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144545_c1_g1	"Carbohydrate transport and metabolism"
Oarb_144546_c0_g1	"Signal transduction mechanisms"
Oarb_144549_c2_g1	"Signal transduction mechanisms"
Oarb_144563_c0_g1	"Nucleotide transport and metabolism"
Oarb_144567_c0_g2	"Translation, ribosomal structure and biogenesis"
Oarb_144570_c1_g1	"Signal transduction mechanisms"
Oarb_144601_c4_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_144602_c3_g1	"Chromatin structure and dynamics"
Oarb_144603_c1_g1	"RNA processing and modification"
Oarb_144604_c4_g1	"Signal transduction mechanisms"
Oarb_144607_c1_g1	"Lipid transport and metabolism"
Oarb_144612_c5_g1	"Cytoskeleton"
Oarb_144621_c1_g1	"Signal transduction mechanisms"
Oarb_144626_c2_g1	""
Oarb_144639_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144640_c1_g1	"Signal transduction mechanisms"
Oarb_144662_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_144670_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144670_c1_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_144672_c0_g1	"Signal transduction mechanisms"
Oarb_144674_c1_g2	"Cytoskeleton"
Oarb_144678_c4_g1	"Cytoskeleton"
Oarb_144679_c0_g1	"Carbohydrate transport and metabolism"
Oarb_144679_c0_g2	"Carbohydrate transport and metabolism"
Oarb_144681_c0_g1	"Signal transduction mechanisms"
Oarb_144682_c3_g1	"Nucleotide transport and metabolism"
Oarb_144687_c3_g2	"Amino acid transport and metabolism"
Oarb_144689_c2_g1	""
Oarb_144700_c7_g2	"Signal transduction mechanisms"
Oarb_144710_c5_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_144712_c0_g3	"Replication, recombination and repair"
Oarb_144718_c2_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_144728_c0_g2	"RNA processing and modification"
Oarb_144738_c0_g2	"Transcription"
Oarb_144761_c1_g1	"Signal transduction mechanisms"
Oarb_144780_c1_g1	"Lipid transport and metabolism"
Oarb_144781_c2_g2	"Amino acid transport and metabolism"
Oarb_144783_c1_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_144785_c3_g1	"Lipid transport and metabolism"
Oarb_144790_c1_g1	"Amino acid transport and metabolism"
Oarb_144792_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144793_c1_g1	"Signal transduction mechanisms"
Oarb_144801_c2_g1	"Signal transduction mechanisms"
Oarb_144804_c1_g1	"Inorganic ion transport and metabolism"
Oarb_144804_c1_g2	"Inorganic ion transport and metabolism"
Oarb_144806_c0_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_144807_c0_g1	"Signal transduction mechanisms"
Oarb_144809_c4_g1	"Signal transduction mechanisms"
Oarb_144859_c1_g2	"Energy production and conversion"
Oarb_144880_c1_g5	"RNA processing and modification"
Oarb_144882_c0_g1	"Transcription"
Oarb_144883_c2_g2	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_144898_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_144913_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_144921_c1_g1	"Signal transduction mechanisms"
Oarb_144925_c0_g1	"Signal transduction mechanisms"
Oarb_144926_c1_g1	"Cytoskeleton"
Oarb_144926_c1_g4	"Cytoskeleton"
Oarb_144937_c4_g1	"Translation, ribosomal structure and biogenesis"
Oarb_144939_c2_g2	""
Oarb_144953_c4_g2	"Signal transduction mechanisms"
Oarb_144958_c2_g1	"Amino acid transport and metabolism"
Oarb_144960_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_144963_c3_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_144965_c5_g1	"Chromatin structure and dynamics"
Oarb_144970_c0_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_144992_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145009_c1_g3	"Lipid transport and metabolism"
Oarb_145009_c1_g4	"Lipid transport and metabolism"
Oarb_145013_c4_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145016_c0_g1	"Cytoskeleton"
Oarb_145022_c2_g3	"Translation, ribosomal structure and biogenesis"
Oarb_145030_c3_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_145037_c1_g1	"Amino acid transport and metabolism"
Oarb_145037_c1_g3	"Amino acid transport and metabolism"
Oarb_145066_c2_g2	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_145073_c2_g1	"Transcription"
Oarb_145082_c6_g1	"Cytoskeleton"
Oarb_145084_c3_g1	"RNA processing and modification"
Oarb_145091_c1_g2	"Translation, ribosomal structure and biogenesis"
Oarb_145103_c11_g1	"Signal transduction mechanisms"
Oarb_145113_c6_g2	"Transcription"
Oarb_145118_c1_g1	"Inorganic ion transport and metabolism"
Oarb_145126_c0_g1	""
Oarb_145135_c1_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_145146_c1_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_145156_c5_g1	"Translation, ribosomal structure and biogenesis"
Oarb_145169_c0_g1	"Nucleotide transport and metabolism"
Oarb_145179_c2_g1	"Energy production and conversion"
Oarb_145186_c2_g4	"Carbohydrate transport and metabolism"
Oarb_145191_c3_g1	"Transcription"
Oarb_145194_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_145206_c0_g1	"Replication, recombination and repair"
Oarb_145211_c2_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_145213_c1_g1	"Energy production and conversion"
Oarb_145218_c1_g1	"Energy production and conversion"
Oarb_145221_c2_g4	"Replication, recombination and repair"
Oarb_145225_c2_g1	"Transcription"
Oarb_145226_c0_g1	"Amino acid transport and metabolism"
Oarb_145232_c0_g1	"Transcription"
Oarb_145235_c2_g3	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_145238_c3_g3	"Signal transduction mechanisms"
Oarb_145246_c0_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_145249_c2_g1	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_145258_c2_g4	"Amino acid transport and metabolism"
Oarb_145261_c2_g1	"Lipid transport and metabolism"
Oarb_145270_c0_g1	"Replication, recombination and repair"
Oarb_145287_c2_g2	"Extracellular structures"
Oarb_145289_c3_g1	"Signal transduction mechanisms"
Oarb_145292_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_145303_c1_g3	"RNA processing and modification"
Oarb_145303_c1_g3	"Replication, recombination and repair"
Oarb_145305_c2_g1	"Lipid transport and metabolism"
Oarb_145306_c3_g1	"Transcription"
Oarb_145310_c1_g3	"Cytoskeleton"
Oarb_145316_c0_g1	"Coenzyme transport and metabolism"
Oarb_145320_c1_g3	"Signal transduction mechanisms"
Oarb_145320_c1_g8	"Signal transduction mechanisms"
Oarb_145324_c0_g1	"Carbohydrate transport and metabolism"
Oarb_145336_c3_g1	"Extracellular structures"
Oarb_145344_c1_g1	"Transcription"
Oarb_145345_c4_g1	"Transcription"
Oarb_145345_c4_g2	"Transcription"
Oarb_145354_c2_g1	""
Oarb_145364_c5_g1	"Energy production and conversion"
Oarb_145369_c2_g1	"Cell cycle control, cell division, chromosome partitioning"
Oarb_145383_c0_g3	"Replication, recombination and repair"
Oarb_145391_c1_g2	"Cell wall/membrane/envelope biogenesis"
Oarb_145400_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145407_c3_g1	"Translation, ribosomal structure and biogenesis"
Oarb_145420_c5_g1	"Extracellular structures"
Oarb_145425_c0_g1	"Transcription"
Oarb_145436_c4_g3	"RNA processing and modification"
Oarb_145444_c0_g1	"Transcription"
Oarb_145454_c0_g3	"Signal transduction mechanisms"
Oarb_145480_c3_g4	""
Oarb_145488_c0_g1	"Cytoskeleton"
Oarb_145489_c1_g1	"Replication, recombination and repair"
Oarb_145491_c1_g1	""
Oarb_145492_c0_g1	"Signal transduction mechanisms"
Oarb_145513_c1_g3	"Inorganic ion transport and metabolism"
Oarb_145515_c2_g1	"Lipid transport and metabolism"
Oarb_145537_c1_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_145540_c1_g1	"Lipid transport and metabolism"
Oarb_145545_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145550_c0_g3	""
Oarb_145561_c9_g1	"Translation, ribosomal structure and biogenesis"
Oarb_145565_c2_g1	"Amino acid transport and metabolism"
Oarb_145565_c2_g2	"Amino acid transport and metabolism"
Oarb_145567_c0_g1	"Transcription"
Oarb_145568_c2_g2	"Signal transduction mechanisms"
Oarb_145570_c2_g3	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_145573_c2_g3	""
Oarb_145583_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145583_c2_g7	"Posttranslational modification, protein turnover, chaperones"
Oarb_145588_c6_g1	"Cytoskeleton"
Oarb_145590_c1_g3	"Secondary metabolites biosynthesis, transport and catabolism"
Oarb_145606_c1_g2	"Signal transduction mechanisms"
Oarb_145612_c2_g1	"Cytoskeleton"
Oarb_145614_c0_g2	"RNA processing and modification"
Oarb_145614_c0_g4	"RNA processing and modification"
Oarb_145615_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145623_c1_g2	"Posttranslational modification, protein turnover, chaperones"
Oarb_145630_c1_g1	""
Oarb_145632_c0_g2	"Amino acid transport and metabolism"
Oarb_145636_c0_g1	"Signal transduction mechanisms"
Oarb_145660_c0_g1	"Translation, ribosomal structure and biogenesis"
Oarb_145665_c2_g2	"Transcription"
Oarb_145665_c2_g3	"Transcription"
Oarb_145674_c0_g1	"Signal transduction mechanisms"
Oarb_145679_c1_g1	"Amino acid transport and metabolism"
Oarb_145685_c1_g1	"Signal transduction mechanisms"
Oarb_145697_c8_g1	"Signal transduction mechanisms"
Oarb_145699_c3_g1	"Coenzyme transport and metabolism"
Oarb_145703_c3_g1	"Signal transduction mechanisms"
Oarb_145710_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145710_c0_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_145718_c2_g2	"Replication, recombination and repair"
Oarb_145726_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145727_c1_g2	"Lipid transport and metabolism"
Oarb_145729_c1_g2	"Carbohydrate transport and metabolism"
Oarb_145729_c1_g2	"Signal transduction mechanisms"
Oarb_145730_c1_g1	"Signal transduction mechanisms"
Oarb_145732_c1_g1	"Cell wall/membrane/envelope biogenesis"
Oarb_145736_c0_g1	"Carbohydrate transport and metabolism"
Oarb_145746_c5_g2	"Energy production and conversion"
Oarb_145747_c0_g2	"Amino acid transport and metabolism"
Oarb_145760_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145775_c1_g1	"Signal transduction mechanisms"
Oarb_145793_c1_g1	"Amino acid transport and metabolism"
Oarb_145799_c0_g1	"Signal transduction mechanisms"
Oarb_145800_c0_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145804_c2_g1	"Cytoskeleton"
Oarb_145806_c3_g2	"Amino acid transport and metabolism"
Oarb_145817_c0_g1	"Carbohydrate transport and metabolism"
Oarb_145837_c1_g1	"Translation, ribosomal structure and biogenesis"
Oarb_145841_c1_g1	"Signal transduction mechanisms"
Oarb_145850_c2_g3	"Signal transduction mechanisms"
Oarb_145858_c2_g1	"Transcription"
Oarb_145893_c3_g1	"Signal transduction mechanisms"
Oarb_145899_c2_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_145900_c0_g1	"Signal transduction mechanisms"
Oarb_145901_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_145901_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145910_c2_g6	"Signal transduction mechanisms"
Oarb_145931_c0_g2	"RNA processing and modification"
Oarb_145935_c1_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_145935_c1_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_145943_c0_g2	"Signal transduction mechanisms"
Oarb_145957_c2_g3	"Translation, ribosomal structure and biogenesis"
Oarb_145964_c2_g1	"Lipid transport and metabolism"
Oarb_145966_c1_g2	"Inorganic ion transport and metabolism"
Oarb_145984_c2_g2	"Lipid transport and metabolism"
Oarb_145985_c0_g1	"Replication, recombination and repair"
Oarb_145987_c3_g3	"Energy production and conversion"
Oarb_145996_c0_g1	"Transcription"
Oarb_146002_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_146006_c1_g2	""
Oarb_146021_c1_g1	"Signal transduction mechanisms"
Oarb_146033_c1_g1	"RNA processing and modification"
Oarb_146042_c3_g1	"Signal transduction mechanisms"
Oarb_146043_c1_g2	"Signal transduction mechanisms"
Oarb_146045_c3_g2	"Lipid transport and metabolism"
Oarb_146047_c0_g4	""
Oarb_146051_c0_g3	"Posttranslational modification, protein turnover, chaperones"
Oarb_146053_c0_g1	"Carbohydrate transport and metabolism"
Oarb_146057_c4_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_146058_c0_g1	"Energy production and conversion"
Oarb_146064_c1_g1	"Signal transduction mechanisms"
Oarb_146066_c2_g1	"Carbohydrate transport and metabolism"
Oarb_146072_c2_g1	"Carbohydrate transport and metabolism"
Oarb_146075_c4_g2	"RNA processing and modification"
Oarb_146080_c2_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_146081_c0_g1	"Nuclear structure"
Oarb_146081_c0_g2	"Nuclear structure"
Oarb_146103_c3_g2	"Signal transduction mechanisms"
Oarb_146104_c5_g1	"Posttranslational modification, protein turnover, chaperones"
Oarb_146113_c1_g2	"Signal transduction mechanisms"
Oarb_146125_c3_g2	"Translation, ribosomal structure and biogenesis"
Oarb_146143_c1_g1	"Lipid transport and metabolism"
Oarb_146177_c3_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_146178_c1_g1	"Intracellular trafficking, secretion, and vesicular transport"
Oarb_146194_c1_g2	"Translation, ribosomal structure and biogenesis"
Oarb_146199_c3_g3	"Extracellular structures"
Oarb_146208_c2_g2	"Transcription"
Oarb_146208_c2_g3	"Cell motility"
Oarb_146219_c0_g1	"Transcription"
Oarb_146239_c1_g2	"Transcription"
